day_of_week,session_hour,day_name,is_weekend,n_sesiones,n_compras,conv_x100
6,13,6-Vie,0,174671,10244,5.865
6,14,6-Vie,0,185012,9750,5.27
6,15,6-Vie,0,186432,9183,4.926
6,16,6-Vie,0,177325,8384,4.728
6,17,6-Vie,0,150835,7050,4.674
6,18,6-Vie,0,115659,5492,4.748
6,19,6-Vie,0,72572,3630,5.002
6,20,6-Vie,0,42249,2220,5.255
6,21,6-Vie,0,24216,1318,5.443
6,22,6-Vie,0,15163,881,5.81
6,23,6-Vie,0,12706,624,4.911
7,0,7-Sab,1,18484,708,3.83
7,1,7-Sab,1,37020,1324,3.576
7,2,7-Sab,1,67170,3053,4.545
7,3,7-Sab,1,101314,6565,6.48
7,4,7-Sab,1,130291,9256,7.104
7,5,7-Sab,1,148902,11132,7.476
7,6,7-Sab,1,157066,11798,7.511
7,7,7-Sab,1,159841,12334,7.716
7,8,7-Sab,1,159914,12089,7.56
7,9,7-Sab,1,149874,11289,7.532
7,10,7-Sab,1,154499,11327,7.331
7,11,7-Sab,1,150576,10389,6.9
7,12,7-Sab,1,149667,9107,6.085
7,13,7-Sab,1,156051,8504,5.45
7,14,7-Sab,1,163965,8203,5.003
7,15,7-Sab,1,169267,7855,4.641
7,16,7-Sab,1,166282,7245,4.357
7,17,7-Sab,1,150400,6382,4.243
7,18,7-Sab,1,118040,5136,4.351
7,19,7-Sab,1,78981,3446,4.363
7,20,7-Sab,1,47246,2327,4.925
7,21,7-Sab,1,27637,1375,4.975
7,22,7-Sab,1,17221,916,5.319
7,23,7-Sab,1,13277,671,5.054
